breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Tosa Inu,Japan,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Toy Fox Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Transylvanian Hound,Hungary,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Treeing Tennessee Brindle,United States,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Treeing Walker Coonhound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Vizsla,Hungary,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,,,
Volpino Italiano,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Weimaraner,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),Gastrointestinal; Orthopedic; Ophthalmic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Welsh Springer Spaniel,Wales,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Welsh Terrier,Wales,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
West Highland White Terrier,Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Westphalian Dachsbracke,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Whippet,England,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Wire Fox Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Wirehaired Pointing Griffon,France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Wirehaired Vizsla,Hungary,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Xoloitzcuintli,Mexico,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Yakutian Laika,Russia (Yakutia),11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia;eye issues;zinc deficiency,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Yorkshire Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation; skin issues; lens luxation; dental disease prevalence (toy breeds); portosystemic shunt (congenital),"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Jack Russell Terrier,United Kingdom / Australia (development),12–15,6.0,8.0,4.5,6.0,6.0,8.0,4.5,6.0,bold;feisty;energetic,High (60–90 min/day),Moderate,,,,"FCI, KC (UK), UKC",,3.0,High,Moderate,breed-specific,breed-specific estimate,,PLL DNA test where applicable; patellar exam; dental plan,Ophthalmic; Orthopedic; Dental,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.
American Bully,United States,10–12,27.0,54.0,16.2,32.4,22.0,45.0,13.2,27.0,friendly;loyal;trainable,Moderate (45–60 min/day),Moderate,,,,"FCI, UKC",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Hovawart,Germany,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Smålandsstövare,Sweden,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Schapendoes,Netherlands,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Polish Hound,Poland,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Mountain Cur,United States,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, UKC",,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Black Mouth Cur,United States,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, UKC",,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Kai Ken,Japan,11–14,,,,,,,,,"independent, alert",,Challenging,,,,"FCI, NIPPO",,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
South Russian Ovcharka,Ukraine/Russia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,South Russian Shepherd Dog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Romanian Mioritic Shepherd Dog,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Carpathian Shepherd Dog,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Romanian Carpathian Shepherd,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Romanian Bucovina Shepherd,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Bergamasco Shepherd,Italy,11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,"AKC, FCI",,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Catalan Sheepdog,Spain (Catalonia),11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,"FCI, KC (UK)",Gos d’Atura Català,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Portuguese Sheepdog,Portugal,11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,FCI,Cão da Serra de Aires,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Castro Laboreiro Dog,Portugal,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Cão de Castro Laboreiro,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Rafeiro do Alentejo,Portugal,11–14,,,,,,,,,"calm, protective",,Moderate,,,,FCI,,2.0,Moderate,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Ciobanesc Romanesc de Bucovina,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Romanian Bucovina Shepherd,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ciobanesc Romanesc Carpatin,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Carpathian Shepherd Dog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ciobanesc Romanesc Mioritic,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Romanian Mioritic Shepherd Dog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Bohemian Shepherd,Czech Republic,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Chodský pes,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Polish Tatra Sheepdog,Poland,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, KC (UK)",Tatra Shepherd Dog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Croatian Sheepdog,Croatia,11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,FCI,,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Lapponian Herder,Finland,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Karakachan Dog,Bulgaria,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
East Siberian Laika,Russia (Siberia),11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
West Siberian Laika,Russia (Siberia),11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Russo-European Laika,Russia,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Norrbottenspets,Sweden/Finland,11–14,,,,,,,,,"independent, alert",,Challenging,,,,"FCI, KC (UK)",,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Jämthund,Sweden,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,Swedish Elkhound,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Galgo Español,Spain,11–14,,,,,,,,,"gentle, reserved",,Moderate,,,,FCI,Spanish Greyhound,10.0,Moderate,Low,group-default heuristic,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Magyar Agár,Hungary,11–14,,,,,,,,,"gentle, reserved",,Moderate,,,,FCI,Hungarian Greyhound,10.0,Moderate,Low,group-default heuristic,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Chart Polski,Poland,11–14,,,,,,,,,"gentle, reserved",,Moderate,,,,FCI,Polish Greyhound,10.0,Moderate,Low,group-default heuristic,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Podenco Canario,Spain (Canary Islands),11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,Canarian Warren Hound,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Portuguese Podengo Medio,Portugal,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Portuguese Podengo Grande,Portugal,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Alpine Dachsbracke,Austria,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Hanoverian Scenthound,Germany,11–14,,,,,,,,,typical for type,,Moderate,,,,"AKC (FSS), FCI",,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Istrian Shorthaired Hound,Croatia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Istrian Coarse-haired Hound,Croatia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Posavac Hound,Croatia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Slovenský kopov,Slovakia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Slovakian Hound,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Montenegrin Mountain Hound,Montenegro,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Serbian Hound,Serbia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Serbian Tricolour Hound,Serbia,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Greek Hound,Greece,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Dunker,Norway,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Norwegian Hound,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Hygen Hound,Norway,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Hamiltonstövare,Sweden,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,"FCI, KC (UK)",,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Schillerstövare,Sweden,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Beagle-Harrier,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Ariegeois,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Gascon Saintongeois,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Poitevin,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Porcelaine,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Petit Bleu de Gascogne,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Griffon Bleu de Gascogne,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Griffon Nivernais,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Artois Hound,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Swiss Hound (Bernese),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Swiss Hound (Jura),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Swiss Hound (Lucerne),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Swiss Hound (Schwyz),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Small Swiss Hound (Bernese),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Small Swiss Hound (Jura),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Small Swiss Hound (Lucerne),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Small Swiss Hound (Schwyz),Switzerland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Large Münsterländer,Germany,11–14,,,,,,,,,"energetic, eager",,High,,,,"AKC, FCI, KC (UK)",,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
German Longhaired Pointer,Germany,11–14,,,,,,,,,"energetic, eager",,High,,,,"AKC, FCI",,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Braque d’Auvergne,France,11–14,,,,,,,,,"energetic, eager",,High,,,,"FCI, KC (UK)",,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Braque Saint‑Germain,France,11–14,,,,,,,,,"energetic, eager",,High,,,,FCI,,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
"Braque Français, type Gascogne",France,11–14,,,,,,,,,"energetic, eager",,High,,,,FCI,,7.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
"Braque Français, type Pyrénées",France,11–14,,,,,,,,,"energetic, eager",,High,,,,FCI,,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Epagneul Français (French Spaniel),France,11–14,,,,,,,,,"amiable, eager",,High,,,,"FCI, KC (UK)",,8.0,High,Moderate,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Epagneul Picard,France,11–14,,,,,,,,,"amiable, eager",,High,,,,"FCI, KC (UK)",,8.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Blue Picardy Spaniel,France,11–14,,,,,,,,,"amiable, eager",,High,,,,"FCI, KC (UK)",,8.0,High,Moderate,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Pont‑Audemer Spaniel,France,11–14,,,,,,,,,"amiable, eager",,High,,,,FCI,,8.0,High,Moderate,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
German Spaniel (Wachtelhund),Germany,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Perdigeiro de Burgos,Spain,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Perdiguero de Burgos,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
