Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Black Russian Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Russia,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Black and Tan Coonhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,United States,FCI,regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Bloodhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–120 min/day),6,19.2,10.8,32,18,Low to Moderate,Moderate (ears/skin),,,,10–12,21,12,35,20,Belgium/France,"AKC, FCI",,"gentle, determined",Moderate,breed-specific
Bluetick Coonhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,United States,FCI,regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Boerboel,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,South Africa,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Bolognese,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Low,Moderate,9,13.2,5.9,20,9,Low–Moderate,Varies,,,,11–14,14.5,6.6,22,10,Italy,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Border Collie,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21), Idiopathic epilepsy (https://www.notion.so/Idiopathic-epilepsy-28ccf55ca0888112a423c3c6198938ec?pvs=21), Epilepsy predisposition (https://www.notion.so/Epilepsy-predisposition-197fcf31d1bb4e8eb6e8ee79fbebe361?pvs=21)",,breed-specific,Very High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,12–15,18,10.8,30,18,Scotland/England,"AKC, FCI",hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),"intense, highly intelligent",High,breed-specific
Border Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.,Ophthalmic; Orthopedic; Dental,12–15,7.9,4.6,12,7,England/Scotland,FCI,PLL DNA test where applicable; patellar exam; dental plan,bold;feisty;energetic,Moderate,breed-specific estimate
Borzoi,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate,10,13.2,5.9,20,9,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Gastrointestinal; Anesthesia; Hematologic; Dermatologic,10–12,14.5,6.6,22,10,Russia,FCI,owner education on bloat; consider prophylactic gastropexy where appropriate; anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"calm, independent",Moderate,breed-specific
Boston Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),9,8.2,4.5,11,6,Moderate (hand-stripping for some),Low,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,11–13,7.9,4.6,12,7,United States,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,"friendly, adaptable",Easy,breed-specific
Bouvier des Flandres,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Belgium/France,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Boxer,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,pattern-based (well-established risks),ARVC risk elevated; mast cell tumors and other cancers occur.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Cardiac; Oncologic; Gastrointestinal,10–12,30,17.5,60,35,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); annual Holter (ARVC); echo as indicated; owner education on bloat; consider prophylactic gastropexy where appropriate,"bright, active",Moderate,breed-specific
Boykin Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,United States (South Carolina),FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
Bracco Italiano,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Italy,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Braque Francais,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Braque Saint-Germain,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Braque du Bourbonnais,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,7,13.2,5.9,20,9,Low–Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Briard,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,France,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Briquet Griffon Vendéen,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,High,Low–Moderate (20–40 min/day),6,4.5,1.5,6,2,Low to High (breed-specific),Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Brittany Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,France,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
Broholmer,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,2,13.2,5.9,20,9,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,11–14,14.5,6.6,22,10,Denmark,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),loyal;alert;trainable,Moderate,breed-specific estimate
Brussels Griffon,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Bull Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",BAER hearing test,bold;feisty;energetic,Moderate,breed-specific estimate
Bulldog,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21)",,breed-specific,Low,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,High (wrinkles/airway),pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,8–10,16.5,5.9,25,9,England,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,"docile, friendly",Moderate,breed-specific
Bullmastiff,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–9,40,25,80,50,England,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"brave, affectionate",Moderate,breed-specific
Cairn Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Low,,,,12–15,7.9,4.6,12,7,Scotland,"AKC, FCI",,"alert, cheerful",Moderate,breed-specific
Canaan Dog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Israel,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Cane Corso,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,10–12,30,17.5,60,35,Italy,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"confident, protective",Moderate,breed-specific
